Year,Tournament,Winner
1985,Australian Open,Stefan Edberg
1985,French Open,Mats Wilander
1985,Wimbledon,Boris Becker
1985,US Open,Ivan Lendl
1986,Australian Open,no competition
1986,French Open,Ivan Lendl
1986,Wimbledon,Boris Becker
1986,US Open,Ivan Lendl
1987,Australian Open,Stefan Edberg
1987,French Open,Ivan Lendl
1987,Wimbledon,Pat Cash
1987,US Open,Ivan Lendl
1988,Australian Open,Mats Wilander
1988,French Open,Mats Wilander
1988,Wimbledon,Stefan Edberg
1988,US Open,Mats Wilander
1989,Australian Open,Ivan Lendl
1989,French Open,Michael Chang
1989,Wimbledon,Boris Becker
1989,US Open,Boris Becker
1990,Australian Open,Ivan Lendl
1990,French Open,Andres Gomez
1990,Wimbledon,Stefan Edberg
1990,US Open,Pete Sampras
1991,Australian Open,Boris Becker
1991,French Open,Jim Courier
1991,Wimbledon,Michael Stich
1991,US Open,Stefan Edberg
1992,Australian Open,Jim Courier
1992,French Open,Jim Courier
1992,Wimbledon,Andre Agassi
1992,US Open,Stefan Edberg
1993,Australian Open,Jim Courier
1993,French Open,Sergi Bruguera
1993,Wimbledon,Pete Sampras
1993,US Open,Pete Sampras
1994,Australian Open,Pete Sampras
1994,French Open,Sergi Bruguera
1994,Wimbledon,Pete Sampras
1994,US Open,Andre Agassi
1995,Australian Open,Andre Agassi
1995,French Open,Thomas Muster
1995,Wimbledon,Pete Sampras
1995,US Open,Pete Sampras
1996,Australian Open,Boris Becker
1996,French Open,Yevgeny Kafelnikov
1996,Wimbledon,Richard Krajicek
1996,US Open,Pete Sampras
1997,Australian Open,Pete Sampras
1997,French Open,Gustavo Kuerten
1997,Wimbledon,Pete Sampras
1997,US Open,Patrick Rafter
1998,Australian Open,Petr Korda
1998,French Open,Carlos Moya
1998,Wimbledon,Pete Sampras
1998,US Open,Patrick Rafter
1999,Australian Open,Yevgeny Kafelnikov
1999,French Open,Andre Agassi
1999,Wimbledon,Pete Sampras
1999,US Open,Andre Agassi
2000,Australian Open,Andre Agassi
2000,French Open,Gustavo Kuerten
2000,Wimbledon,Pete Sampras
2000,US Open,Marat Safin
2001,Australian Open,Andre Agassi
2001,French Open,Gustavo Kuerten
2001,Wimbledon,Goran Ivanisevic
2001,US Open,Lleyton Hewitt
2002,Australian Open,Thomas Johansson
2002,French Open,Albert Costa
2002,Wimbledon,Lleyton Hewitt
2002,US Open,Pete Sampras
2003,Australian Open,Andre Agassi
2003,French Open,Juan Carlos Ferrero
2003,Wimbledon,Roger Federer
2003,US Open,Andy Roddick
2004,Australian Open,Roger Federer
2004,French Open,Gaston Gaudio
2004,Wimbledon,Roger Federer
2004,US Open,Roger Federer
2005,Australian Open,Marat Safin
2005,French Open,Rafael Nadal
2005,Wimbledon,Roger Federer
2005,US Open,Roger Federer
2006,Australian Open,Roger Federer
2006,French Open,Rafael Nadal
2006,Wimbledon,Roger Federer
2006,US Open,Roger Federer
2007,Australian Open,Roger Federer
2007,French Open,Rafael Nadal
2007,Wimbledon,Roger Federer
2007,US Open,Roger Federer
2008,Australian Open,Novak Djokovic
2008,French Open,Rafael Nadal
2008,Wimbledon,Rafael Nadal
2008,US Open,Roger Federer
2009,Australian Open,Rafael Nadal
2009,French Open,Roger Federer
2009,Wimbledon,Roger Federer
2009,US Open,Juan Martin del Potro
2010,Australian Open,Roger Federer
2010,French Open,Rafael Nadal
2010,Wimbledon,Rafael Nadal
2010,US Open,Rafael Nadal
2011,Australian Open,Novak Djokovic
2011,French Open,Rafael Nadal
2011,Wimbledon,Novak Djokovic
2011,US Open,Novak Djokovic
2012,Australian Open,Novak Djokovic
2012,French Open,Rafael Nadal
2012,Wimbledon,Roger Federer
2012,US Open,Andy Murray
2013,Australian Open,Novak Djokovic
2013,French Open,Rafael Nadal
2013,Wimbledon,Andy Murray
2013,US Open,Rafael Nadal
2014,Australian Open,Stan Wawrinka
2014,French Open,Rafael Nadal
2014,Wimbledon,Novak Djokovic
2014,US Open,Marin Cilic
2015,Australian Open,Novak Djokovic
2015,French Open,Stan Wawrinka
2015,Wimbledon,Novak Djokovic
2015,US Open,Novak Djokovic
2016,Australian Open,Novak Djokovic
2016,French Open,Novak Djokovic
2016,Wimbledon,Andy Murray
2016,US Open,Stan Wawrinka
2017,Australian Open,Roger Federer
2017,French Open,Rafael Nadal
2017,Wimbledon,Roger Federer
2017,US Open,Rafael Nadal
2018,Australian Open,Roger Federer
2018,French Open,Rafael Nadal
2018,Wimbledon,Novak Djokovic
2018,US Open,Novak Djokovic
2019,Australian Open,Novak Djokovic
2019,French Open,Rafael Nadal
2019,Wimbledon,Novak Djokovic



